Designator,Mid X,Mid Y,Rotation,Layer
C5,117.144,-84.769,180.0,top
C50,145.4404,-51.9684,90.0,top
C51,133.4516,-48.0568,90.0,top
C52,140.18,-55.61,270.0,bottom
C53,151.125608,-45.602995,90.0,top
C54,148.74,-42.67,0.0,top
C55,146.51,-82.33,0.0,bottom
C56,147.43,-71.45,90.0,bottom
C57,141.27,-70.68,180.0,bottom
C58,152.14,-88.92,0.0,bottom
C59,131.0,-88.77,270.0,bottom
C6,117.094,-79.069,0.0,top
C60,129.55,-83.48,90.0,bottom
C61,133.26,-82.49,270.0,bottom
C62,132.46,-79.57,270.0,bottom
C63,132.47,-74.54,90.0,bottom
C64,142.78,-74.09,0.0,bottom
C65,146.68,-76.62,270.0,bottom
C66,152.51,-80.4,90.0,bottom
C67,151.39,-69.0,270.0,bottom
C68,129.47,-91.17,90.0,bottom
C69,134.09,-93.69,315.0,bottom
C7,137.99,-87.18,270.0,bottom
C70,149.28,-76.25,270.0,bottom
C71,151.41,-76.3,270.0,bottom
C72,153.46,-76.34,270.0,bottom
C73,150.28,-79.79,90.0,bottom
C74,128.7,-116.77,180.0,top
C75,245.4912,-113.7292,180.0,top
C76,241.2412,-113.7292,180.0,top
C77,236.9912,-113.7292,180.0,top
C78,232.7412,-113.7292,180.0,top
C79,228.4912,-113.7292,180.0,top
C8,131.69,-83.18,90.0,bottom
C80,224.2412,-113.7292,180.0,top
C81,219.9912,-113.7292,180.0,top
C82,215.7412,-113.7292,180.0,top
C83,211.4912,-113.7292,180.0,top
C84,207.2412,-113.7292,180.0,top
C85,202.9912,-113.7292,180.0,top
C86,198.7412,-113.7292,180.0,top
C87,194.4912,-113.7292,180.0,top
C88,190.2412,-113.7292,180.0,top
C89,185.9912,-113.7292,180.0,top
C9,140.04,-87.2,90.0,bottom
C90,181.7412,-113.7292,180.0,top
C91,177.4912,-113.7292,180.0,top
C92,173.2412,-113.7292,180.0,top
C93,168.9912,-113.7292,180.0,top
C94,164.7412,-113.7292,180.0,top
C95,245.491199,-109.4792,180.0,top
C96,241.241201,-109.4792,180.0,top
C97,236.9912,-109.4792,180.0,top
C98,232.7412,-109.4792,180.0,top
C99,228.4912,-109.4792,180.0,top
D1,156.65,-79.17,180.0,top
D2,113.0,-97.8,0.0,top
D3,121.32,-54.21,90.0,bottom
D4,118.44,-54.27,90.0,bottom
D5,160.08,-113.36,180.0,top
FB1,151.13,-40.95,180.0,top
IC1,166.1392,-39.3412,0.0,top
IC10,204.3892,-39.3412,0.0,top
IC100,246.8892,-56.3412,0.0,top
IC101,166.1392,-60.5912,0.0,top
IC102,170.3892,-60.5912,0.0,top
IC103,174.6392,-60.5912,0.0,top
IC104,178.8892,-60.5912,0.0,top
IC105,183.1392,-60.5912,0.0,top
IC106,187.3892,-60.5912,0.0,top
IC107,191.6392,-60.5912,0.0,top
IC108,195.8892,-60.5912,0.0,top
IC109,200.1392,-60.5912,0.0,top
IC11,208.6392,-39.3412,0.0,top
IC110,204.3892,-60.5912,0.0,top
IC111,208.6392,-60.5912,0.0,top
IC112,212.8892,-60.5912,0.0,top
IC113,217.1392,-60.5912,0.0,top
IC114,221.3892,-60.5912,0.0,top
IC115,225.6392,-60.5912,0.0,top
IC116,229.8892,-60.5912,0.0,top
IC117,234.1392,-60.5912,0.0,top
IC118,238.3892,-60.5912,0.0,top
IC119,242.6392,-60.5912,0.0,top
IC12,212.8892,-39.3412,0.0,top
IC120,246.8892,-60.5912,0.0,top
IC121,166.1392,-64.8412,0.0,top
IC122,170.3892,-64.8412,0.0,top
IC123,174.6392,-64.8412,0.0,top
IC124,178.8892,-64.8412,0.0,top
IC125,183.1392,-64.8412,0.0,top
IC126,187.3892,-64.8412,0.0,top
IC127,191.6392,-64.8412,0.0,top
IC128,195.8892,-64.8412,0.0,top
IC129,200.1392,-64.8412,0.0,top
IC13,217.1392,-39.3412,0.0,top
IC130,204.3892,-64.8412,0.0,top
IC131,208.6392,-64.8412,0.0,top
IC132,212.8892,-64.8412,0.0,top
IC133,217.1392,-64.8412,0.0,top
IC134,221.3892,-64.8412,0.0,top
IC135,225.6392,-64.8412,0.0,top
IC136,229.8892,-64.8412,0.0,top
IC137,234.1392,-64.8412,0.0,top
IC138,238.3892,-64.8412,0.0,top
IC139,242.6392,-64.8412,0.0,top
IC14,221.3892,-39.3412,0.0,top
IC140,246.8892,-64.8412,0.0,top
IC141,166.1392,-69.0912,0.0,top
IC142,170.3892,-69.0912,0.0,top
IC143,174.6392,-69.0912,0.0,top
IC144,178.8892,-69.0912,0.0,top
IC145,183.1392,-69.0912,0.0,top
IC146,187.3892,-69.0912,0.0,top
IC147,191.6392,-69.0912,0.0,top
IC148,195.8892,-69.0912,0.0,top
IC149,200.1392,-69.0912,0.0,top
IC15,225.6392,-39.3412,0.0,top
IC150,204.3892,-69.0912,0.0,top
IC151,208.6392,-69.0912,0.0,top
IC152,212.8892,-69.0912,0.0,top
IC153,217.1392,-69.0912,0.0,top
IC154,221.3892,-69.0912,0.0,top
IC155,225.6392,-69.0912,0.0,top
IC156,229.8892,-69.0912,0.0,top
IC157,234.1392,-69.0912,0.0,top
IC158,238.3892,-69.0912,0.0,top
IC159,242.6392,-69.0912,0.0,top
IC16,229.8892,-39.3412,0.0,top
IC160,246.8892,-69.0912,0.0,top
IC161,166.1392,-73.3412,0.0,top
IC162,170.3892,-73.3412,0.0,top
IC163,174.6392,-73.3412,0.0,top
IC164,178.8892,-73.3412,0.0,top
IC165,183.1392,-73.3412,0.0,top
IC166,187.3892,-73.3412,0.0,top
IC167,191.6392,-73.3412,0.0,top
IC168,195.8892,-73.3412,0.0,top
IC169,200.1392,-73.3412,0.0,top
IC17,234.1392,-39.3412,0.0,top
IC170,204.3892,-73.3412,0.0,top
IC171,208.6392,-73.3412,0.0,top
IC172,212.8892,-73.3412,0.0,top
IC173,217.1392,-73.3412,0.0,top
IC174,221.3892,-73.3412,0.0,top
IC175,225.6392,-73.3412,0.0,top
IC176,229.8892,-73.3412,0.0,top
IC177,234.1392,-73.3412,0.0,top
IC178,238.3892,-73.3412,0.0,top
IC179,242.6392,-73.3412,0.0,top
IC18,238.3892,-39.3412,0.0,top
IC180,246.8892,-73.3412,0.0,top
IC181,166.1392,-77.5912,0.0,top
IC182,170.3892,-77.5912,0.0,top
IC183,174.6392,-77.5912,0.0,top
IC184,178.8892,-77.5912,0.0,top
IC185,183.1392,-77.5912,0.0,top
IC186,187.3892,-77.5912,0.0,top
IC187,191.6392,-77.5912,0.0,top
IC188,195.8892,-77.5912,0.0,top
IC189,200.1392,-77.5912,0.0,top
IC19,242.6392,-39.3412,0.0,top
IC190,204.3892,-77.5912,0.0,top
IC191,208.6392,-77.5912,0.0,top
IC192,212.8892,-77.5912,0.0,top
IC193,217.1392,-77.5912,0.0,top
IC194,221.3892,-77.5912,0.0,top
IC195,225.6392,-77.5912,0.0,top
IC196,229.8892,-77.5912,0.0,top
IC197,234.1392,-77.5912,0.0,top
IC198,238.3892,-77.5912,0.0,top
IC199,242.6392,-77.5912,0.0,top
IC2,170.3892,-39.3412,0.0,top
IC20,246.8892,-39.3412,0.0,top
IC200,246.8892,-77.5912,0.0,top
IC201,166.1392,-81.8412,0.0,top
IC202,170.3892,-81.8412,0.0,top
IC203,174.6392,-81.8412,0.0,top
IC204,178.8892,-81.8412,0.0,top
IC205,183.1392,-81.8412,0.0,top
IC206,187.3892,-81.8412,0.0,top
IC207,191.6392,-81.8412,0.0,top
IC208,195.8892,-81.8412,0.0,top
IC209,200.1392,-81.8412,0.0,top
IC21,166.1392,-43.5912,0.0,top
IC210,204.3892,-81.8412,0.0,top
IC211,208.6392,-81.8412,0.0,top
